Code,Title,Description,Extension
requestForQualification,Request for qualification,"The set of documents issued by the procuring authority that constitute the basis of the qualification and potentially the pre-selection of candidates (the short list). Qualified (or short-listed candidates) will then be invited to submit a proposal (or to enter into a new phase prior to bid submission, such as a dialogue phase or interactive phase).",OCDS for PPPs Extension
minutes,Minutes,"Minutes of pre-bid meetings, or other relevant meetings.",OCDS for PPPs Extension
negotiationParameters,Negotiation parameters,A description of the parameters for negotiation with the preferred proponent,OCDS for PPPs Extension
riskComparison,Risk comparison,Risk comparison of other financing methods,OCDS for PPPs Extension
discountRate,Discount rate and risk premium,"An explanation of the discount rate, and any risk premium used, including information on project-specific circumstances that justify the risk premium rate used.",OCDS for PPPs Extension
equityTransferCaps,Equity transfer caps,"Details of any restrictions on the transfer of equity by shareholders or other relevant participants in the project. Certain contracts provide for caps on equity transfer in different stages of the contract, especially during the construction stage and for a few years thereafter.",OCDS for PPPs Extension
financeArrangements,Security and step in arrangements,"Details of any rights granted to a lender to access value in the event of default by a borrower and any rights granted to a party to ""step in"" to the shoes of another party, for example, a right granted to a lender or public authority to take over temporarily the operation of a project in case of failure to perform by a private party.",OCDS for PPPs Extension
guaranteeReports,Fiscal commitments and contingent liabilities disclosure reports,"Reports detailing the fiscal commitments of the public authority to the PPP, for example known payments that need to be made if the PPP proceeds or payment commitments whose occurrence, timing and magnitude depend on some uncertain future event, outside the control of the public authority.",OCDS for PPPs Extension
grants,Grants,"Information on grants given to support the project. Grant information ought to detail the total value of subsidy, and/or the value of subsidy as a proportion of the overall project value, as well as providing information on the nature of the grant. For capital subsidies paid during construction of a project, or operating subsidies paid during operation, details of periodicity of grant payments, and particular grant milestones, ought to be provided.",OCDS for PPPs Extension
servicePayments,Service payments,"Service payments are payments made by the public authority or purchaser to the private provider for infrastructure services (applicable in some types of Public Private Partnership projects). The documentation ought to cover the total number of payments and their periodicity, as well as the methodology used for calculating payments and the indexation used.",OCDS for PPPs Extension
landTransfer,Land transfer,"Details of land transferred on lease or other basis by government, including details of property numbers with the quantum of land transferred, zoning information and conditions of transfer.",OCDS for PPPs Extension
assetTransfer,Asset transfer,"Details of asset, human resource of personnel transfers, including documentation of the conditions of transfer.",OCDS for PPPs Extension
revenueShare,Revenue share,"Documentation of any revenue share arrangements, including revenue share on the base-case and upside for a public private partnership project.",OCDS for PPPs Extension
otherGovernmentSupport,Other government support,"Documentation of any other government support, including non-complete clauses or provision for revenue shortfall loans.",OCDS for PPPs Extension
defaultEvents,Defaults,Information on events of default,OCDS for PPPs Extension
termination,Termination,Information on contract termination,OCDS for PPPs Extension
handover,Handover,"Contractual provisions for, or reporting on, handover of assets back to the state, including details of condition of assets and any other conditions of handover.",OCDS for PPPs Extension
financialStatement,Financial statement,Audited financial statements of the project company,OCDS for PPPs Extension
performanceReport,Performance report,Performance assessment reports,OCDS for PPPs Extension
